task,model_type,model_name,noise_type,evaluation_scope,subword_inflation_bin,num_samples,num_errors,accuracy,mean_subword_delta,mean_changed_token_ratio,error_rate
sentiment,phobert,phobert_base,elongation,full,>1.30,674,76,0.887240356083086,2.6409495548961424,0.18211397076382235,0.11275964391691395
sentiment,phobert,phobert_base,mixed_noise,changed_only,<0.95,27,8,0.7037037037037037,-1.0,0.30673043050924026,0.2962962962962963
sentiment,phobert,phobert_base,mixed_noise,changed_only,0.95-1.00,717,77,0.8926080892608089,-0.016736401673640166,0.21000431560675348,0.10739191073919108
sentiment,phobert,phobert_base,mixed_noise,changed_only,1.00-1.05,245,14,0.9428571428571428,1.1183673469387756,0.1092325191071299,0.05714285714285716
sentiment,phobert,phobert_base,mixed_noise,changed_only,1.05-1.15,1073,98,0.9086672879776329,1.505125815470643,0.18824386563483422,0.09133271202236715
sentiment,phobert,phobert_base,mixed_noise,changed_only,1.15-1.30,705,85,0.8794326241134752,2.1333333333333333,0.23396417370093703,0.12056737588652477
sentiment,phobert,phobert_base,mixed_noise,changed_only,>1.30,368,57,0.845108695652174,2.6847826086956523,0.29544514965710617,0.15489130434782605
sentiment,phobert,phobert_base,mixed_noise,full,<0.95,27,8,0.7037037037037037,-1.0,0.30673043050924026,0.2962962962962963
sentiment,phobert,phobert_base,mixed_noise,full,0.95-1.00,748,81,0.8917112299465241,-0.016042780748663103,0.20130092819524362,0.10828877005347592
sentiment,phobert,phobert_base,mixed_noise,full,1.00-1.05,245,14,0.9428571428571428,1.1183673469387756,0.1092325191071299,0.05714285714285716
sentiment,phobert,phobert_base,mixed_noise,full,1.05-1.15,1073,98,0.9086672879776329,1.505125815470643,0.18824386563483422,0.09133271202236715
sentiment,phobert,phobert_base,mixed_noise,full,1.15-1.30,705,85,0.8794326241134752,2.1333333333333333,0.23396417370093703,0.12056737588652477
sentiment,phobert,phobert_base,mixed_noise,full,>1.30,368,57,0.845108695652174,2.6847826086956523,0.29544514965710617,0.15489130434782605
sentiment,phobert,phobert_base,no_accent,changed_only,<0.95,7,4,0.42857142857142855,-1.1428571428571428,0.6323652537938252,0.5714285714285714
sentiment,phobert,phobert_base,no_accent,changed_only,0.95-1.00,238,121,0.49159663865546216,0.0,0.6635819246113364,0.5084033613445378
sentiment,phobert,phobert_base,no_accent,changed_only,1.00-1.05,9,6,0.3333333333333333,1.1111111111111112,0.6552206872522154,0.6666666666666667
sentiment,phobert,phobert_base,no_accent,changed_only,1.05-1.15,526,295,0.4391634980988593,1.55893536121673,0.7385578248582306,0.5608365019011408
sentiment,phobert,phobert_base,no_accent,changed_only,1.15-1.30,1530,972,0.36470588235294116,3.7777777777777777,0.7645655913424739,0.6352941176470588
sentiment,phobert,phobert_base,no_accent,changed_only,>1.30,852,630,0.2605633802816901,5.315727699530516,0.791244819685298,0.7394366197183099
sentiment,phobert,phobert_base,no_accent,full,<0.95,7,4,0.42857142857142855,-1.1428571428571428,0.6323652537938252,0.5714285714285714
sentiment,phobert,phobert_base,no_accent,full,0.95-1.00,242,123,0.49173553719008267,0.0,0.6526136283367688,0.5082644628099173
sentiment,phobert,phobert_base,no_accent,full,1.00-1.05,9,6,0.3333333333333333,1.1111111111111112,0.6552206872522154,0.6666666666666667
sentiment,phobert,phobert_base,no_accent,full,1.05-1.15,526,295,0.4391634980988593,1.55893536121673,0.7385578248582306,0.5608365019011408
sentiment,phobert,phobert_base,no_accent,full,1.15-1.30,1530,972,0.36470588235294116,3.7777777777777777,0.7645655913424739,0.6352941176470588
sentiment,phobert,phobert_base,no_accent,full,>1.30,852,630,0.2605633802816901,5.315727699530516,0.791244819685298,0.7394366197183099
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,0.95-1.00,1010,83,0.9178217821782179,0.0,0.09786012852223808,0.08217821782178214
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,1.00-1.05,176,7,0.9602272727272727,1.0113636363636365,0.059510085514269735,0.03977272727272729
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,1.05-1.15,308,38,0.8766233766233766,1.0584415584415585,0.10901657561705641,0.12337662337662336
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,1.15-1.30,42,8,0.8095238095238095,1.2142857142857142,0.20453395810538666,0.19047619047619047
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,>1.30,5,1,0.8,1.4,0.3333333333333333,0.19999999999999996
sentiment,phobert,phobert_base,teencode_colloquial,full,0.95-1.00,2635,205,0.9222011385199241,0.0,0.037509954386133,0.07779886148007586
sentiment,phobert,phobert_base,teencode_colloquial,full,1.00-1.05,176,7,0.9602272727272727,1.0113636363636365,0.059510085514269735,0.03977272727272729
sentiment,phobert,phobert_base,teencode_colloquial,full,1.05-1.15,308,38,0.8766233766233766,1.0584415584415585,0.10901657561705641,0.12337662337662336
sentiment,phobert,phobert_base,teencode_colloquial,full,1.15-1.30,42,8,0.8095238095238095,1.2142857142857142,0.20453395810538666,0.19047619047619047
sentiment,phobert,phobert_base,teencode_colloquial,full,>1.30,5,1,0.8,1.4,0.3333333333333333,0.19999999999999996
sentiment,phobert,phobert_base,typo,changed_only,<0.95,4,0,1.0,-1.25,0.1352272727272727,0.0
sentiment,phobert,phobert_base,typo,changed_only,0.95-1.00,1414,137,0.9031117397454032,-0.0014144271570014145,0.09829612323208958,0.09688826025459685
sentiment,phobert,phobert_base,typo,changed_only,1.00-1.05,343,17,0.9504373177842566,1.0029154518950438,0.03718463211327296,0.04956268221574345
sentiment,phobert,phobert_base,typo,changed_only,1.05-1.15,1072,103,0.9039179104477612,1.017723880597015,0.09471983914765347,0.09608208955223885
sentiment,phobert,phobert_base,typo,changed_only,1.15-1.30,214,38,0.822429906542056,1.0700934579439252,0.1864375759235572,0.17757009345794394
sentiment,phobert,phobert_base,typo,changed_only,>1.30,27,10,0.6296296296296297,1.1481481481481481,0.32962962962962966,0.37037037037037035
sentiment,phobert,phobert_base,typo,full,<0.95,4,0,1.0,-1.25,0.1352272727272727,0.0
sentiment,phobert,phobert_base,typo,full,0.95-1.00,1506,148,0.9017264276228419,-0.0013280212483399733,0.09229131357913324,0.09827357237715806
sentiment,phobert,phobert_base,typo,full,1.00-1.05,343,17,0.9504373177842566,1.0029154518950438,0.03718463211327296,0.04956268221574345
sentiment,phobert,phobert_base,typo,full,1.05-1.15,1072,103,0.9039179104477612,1.017723880597015,0.09471983914765347,0.09608208955223885
sentiment,phobert,phobert_base,typo,full,1.15-1.30,214,38,0.822429906542056,1.0700934579439252,0.1864375759235572,0.17757009345794394
sentiment,phobert,phobert_base,typo,full,>1.30,27,10,0.6296296296296297,1.1481481481481481,0.32962962962962966,0.37037037037037035
topic,baseline,majority_class,domain_abbreviation,changed_only,<0.95,159,118,0.2578616352201258,-1.10062893081761,0.24537329090978907,0.7421383647798743
topic,baseline,majority_class,domain_abbreviation,changed_only,0.95-1.00,1371,352,0.7432530999270606,-0.06856309263311451,0.17990070966663912,0.25674690007293943
topic,baseline,majority_class,domain_abbreviation,full,<0.95,159,118,0.2578616352201258,-1.10062893081761,0.24537329090978907,0.7421383647798743
topic,baseline,majority_class,domain_abbreviation,full,0.95-1.00,3007,758,0.7479215164615897,-0.03126039241769205,0.08202323676520194,0.25207848353841034
topic,baseline,majority_class,elongation,changed_only,0.95-1.00,3,2,0.3333333333333333,0.0,0.0681964573268921,0.6666666666666667
topic,baseline,majority_class,elongation,changed_only,1.00-1.05,173,69,0.6011560693641619,1.4971098265895955,0.030249054721375367,0.3988439306358381
topic,baseline,majority_class,elongation,changed_only,1.05-1.15,1164,352,0.697594501718213,1.8565292096219932,0.062047424151203706,0.302405498281787
topic,baseline,majority_class,elongation,changed_only,1.15-1.30,1150,284,0.7530434782608696,2.210434782608696,0.10616817465225728,0.2469565217391304
topic,baseline,majority_class,elongation,changed_only,>1.30,674,167,0.7522255192878339,2.6409495548961424,0.18211397076382235,0.24777448071216612
topic,baseline,majority_class,elongation,full,0.95-1.00,5,4,0.2,0.0,0.04091787439613526,0.8
topic,baseline,majority_class,elongation,full,1.00-1.05,173,69,0.6011560693641619,1.4971098265895955,0.030249054721375367,0.3988439306358381
topic,baseline,majority_class,elongation,full,1.05-1.15,1164,352,0.697594501718213,1.8565292096219932,0.062047424151203706,0.302405498281787
topic,baseline,majority_class,elongation,full,1.15-1.30,1150,284,0.7530434782608696,2.210434782608696,0.10616817465225728,0.2469565217391304
topic,baseline,majority_class,elongation,full,>1.30,674,167,0.7522255192878339,2.6409495548961424,0.18211397076382235,0.24777448071216612
topic,baseline,majority_class,mixed_noise,changed_only,<0.95,27,22,0.18518518518518517,-1.0,0.30673043050924026,0.8148148148148149
topic,baseline,majority_class,mixed_noise,changed_only,0.95-1.00,717,198,0.7238493723849372,-0.016736401673640166,0.21000431560675348,0.2761506276150628
topic,baseline,majority_class,mixed_noise,changed_only,1.00-1.05,245,90,0.6326530612244898,1.1183673469387756,0.1092325191071299,0.36734693877551017
topic,baseline,majority_class,mixed_noise,changed_only,1.05-1.15,1073,287,0.7325256290773532,1.505125815470643,0.18824386563483422,0.2674743709226468
topic,baseline,majority_class,mixed_noise,changed_only,1.15-1.30,705,169,0.7602836879432624,2.1333333333333333,0.23396417370093703,0.2397163120567376
topic,baseline,majority_class,mixed_noise,changed_only,>1.30,368,97,0.7364130434782609,2.6847826086956523,0.29544514965710617,0.26358695652173914
topic,baseline,majority_class,mixed_noise,full,<0.95,27,22,0.18518518518518517,-1.0,0.30673043050924026,0.8148148148148149
topic,baseline,majority_class,mixed_noise,full,0.95-1.00,748,211,0.7179144385026738,-0.016042780748663103,0.20130092819524362,0.2820855614973262
topic,baseline,majority_class,mixed_noise,full,1.00-1.05,245,90,0.6326530612244898,1.1183673469387756,0.1092325191071299,0.36734693877551017
topic,baseline,majority_class,mixed_noise,full,1.05-1.15,1073,287,0.7325256290773532,1.505125815470643,0.18824386563483422,0.2674743709226468
topic,baseline,majority_class,mixed_noise,full,1.15-1.30,705,169,0.7602836879432624,2.1333333333333333,0.23396417370093703,0.2397163120567376
topic,baseline,majority_class,mixed_noise,full,>1.30,368,97,0.7364130434782609,2.6847826086956523,0.29544514965710617,0.26358695652173914
topic,baseline,majority_class,no_accent,changed_only,<0.95,7,3,0.5714285714285714,-1.1428571428571428,0.6323652537938252,0.4285714285714286
topic,baseline,majority_class,no_accent,changed_only,0.95-1.00,238,65,0.726890756302521,0.0,0.6635819246113364,0.273109243697479
topic,baseline,majority_class,no_accent,changed_only,1.00-1.05,9,4,0.5555555555555556,1.1111111111111112,0.6552206872522154,0.4444444444444444
topic,baseline,majority_class,no_accent,changed_only,1.05-1.15,526,144,0.7262357414448669,1.55893536121673,0.7385578248582306,0.2737642585551331
topic,baseline,majority_class,no_accent,changed_only,1.15-1.30,1530,411,0.7313725490196078,3.7777777777777777,0.7645655913424739,0.2686274509803922
topic,baseline,majority_class,no_accent,changed_only,>1.30,852,247,0.710093896713615,5.315727699530516,0.791244819685298,0.289906103286385
topic,baseline,majority_class,no_accent,full,<0.95,7,3,0.5714285714285714,-1.1428571428571428,0.6323652537938252,0.4285714285714286
topic,baseline,majority_class,no_accent,full,0.95-1.00,242,67,0.7231404958677686,0.0,0.6526136283367688,0.27685950413223137
topic,baseline,majority_class,no_accent,full,1.00-1.05,9,4,0.5555555555555556,1.1111111111111112,0.6552206872522154,0.4444444444444444
topic,baseline,majority_class,no_accent,full,1.05-1.15,526,144,0.7262357414448669,1.55893536121673,0.7385578248582306,0.2737642585551331
topic,baseline,majority_class,no_accent,full,1.15-1.30,1530,411,0.7313725490196078,3.7777777777777777,0.7645655913424739,0.2686274509803922
topic,baseline,majority_class,no_accent,full,>1.30,852,247,0.710093896713615,5.315727699530516,0.791244819685298,0.289906103286385
topic,baseline,majority_class,teencode_colloquial,changed_only,0.95-1.00,1010,243,0.7594059405940594,0.0,0.09786012852223808,0.24059405940594059
topic,baseline,majority_class,teencode_colloquial,changed_only,1.00-1.05,176,64,0.6363636363636364,1.0113636363636365,0.059510085514269735,0.36363636363636365
topic,baseline,majority_class,teencode_colloquial,changed_only,1.05-1.15,308,99,0.6785714285714286,1.0584415584415585,0.10901657561705641,0.3214285714285714
topic,baseline,majority_class,teencode_colloquial,changed_only,1.15-1.30,42,15,0.6428571428571429,1.2142857142857142,0.20453395810538666,0.3571428571428571
topic,baseline,majority_class,teencode_colloquial,changed_only,>1.30,5,3,0.4,1.4,0.3333333333333333,0.6
topic,baseline,majority_class,teencode_colloquial,full,0.95-1.00,2635,695,0.7362428842504743,0.0,0.037509954386133,0.26375711574952565
topic,baseline,majority_class,teencode_colloquial,full,1.00-1.05,176,64,0.6363636363636364,1.0113636363636365,0.059510085514269735,0.36363636363636365
topic,baseline,majority_class,teencode_colloquial,full,1.05-1.15,308,99,0.6785714285714286,1.0584415584415585,0.10901657561705641,0.3214285714285714
topic,baseline,majority_class,teencode_colloquial,full,1.15-1.30,42,15,0.6428571428571429,1.2142857142857142,0.20453395810538666,0.3571428571428571
topic,baseline,majority_class,teencode_colloquial,full,>1.30,5,3,0.4,1.4,0.3333333333333333,0.6
topic,baseline,majority_class,typo,changed_only,<0.95,4,2,0.5,-1.25,0.1352272727272727,0.5
topic,baseline,majority_class,typo,changed_only,0.95-1.00,1414,391,0.7234794908062234,-0.0014144271570014145,0.09829612323208958,0.2765205091937766
topic,baseline,majority_class,typo,changed_only,1.00-1.05,343,106,0.6909620991253644,1.0029154518950438,0.03718463211327296,0.30903790087463556
topic,baseline,majority_class,typo,changed_only,1.05-1.15,1072,262,0.7555970149253731,1.017723880597015,0.09471983914765347,0.24440298507462688
topic,baseline,majority_class,typo,changed_only,1.15-1.30,214,51,0.7616822429906542,1.0700934579439252,0.1864375759235572,0.23831775700934577
topic,baseline,majority_class,typo,changed_only,>1.30,27,20,0.25925925925925924,1.1481481481481481,0.32962962962962966,0.7407407407407407
topic,baseline,majority_class,typo,full,<0.95,4,2,0.5,-1.25,0.1352272727272727,0.5
topic,baseline,majority_class,typo,full,0.95-1.00,1506,435,0.7111553784860558,-0.0013280212483399733,0.09229131357913324,0.2888446215139442
topic,baseline,majority_class,typo,full,1.00-1.05,343,106,0.6909620991253644,1.0029154518950438,0.03718463211327296,0.30903790087463556
topic,baseline,majority_class,typo,full,1.05-1.15,1072,262,0.7555970149253731,1.017723880597015,0.09471983914765347,0.24440298507462688
topic,baseline,majority_class,typo,full,1.15-1.30,214,51,0.7616822429906542,1.0700934579439252,0.1864375759235572,0.23831775700934577
topic,baseline,majority_class,typo,full,>1.30,27,20,0.25925925925925924,1.1481481481481481,0.32962962962962966,0.7407407407407407
topic,baseline,tfidf_char_svm,domain_abbreviation,changed_only,<0.95,159,39,0.7547169811320755,-1.10062893081761,0.24537329090978907,0.24528301886792447
topic,baseline,tfidf_char_svm,domain_abbreviation,changed_only,0.95-1.00,1371,322,0.7651349380014588,-0.06856309263311451,0.17990070966663912,0.23486506199854118
topic,baseline,tfidf_char_svm,domain_abbreviation,full,<0.95,159,39,0.7547169811320755,-1.10062893081761,0.24537329090978907,0.24528301886792447
topic,baseline,tfidf_char_svm,domain_abbreviation,full,0.95-1.00,3007,625,0.7921516461589624,-0.03126039241769205,0.08202323676520194,0.20784835384103761
topic,baseline,tfidf_char_svm,elongation,changed_only,0.95-1.00,3,2,0.3333333333333333,0.0,0.0681964573268921,0.6666666666666667
topic,baseline,tfidf_char_svm,elongation,changed_only,1.00-1.05,173,35,0.7976878612716763,1.4971098265895955,0.030249054721375367,0.20231213872832365
topic,baseline,tfidf_char_svm,elongation,changed_only,1.05-1.15,1164,215,0.8152920962199313,1.8565292096219932,0.062047424151203706,0.18470790378006874
topic,baseline,tfidf_char_svm,elongation,changed_only,1.15-1.30,1150,177,0.8460869565217392,2.210434782608696,0.10616817465225728,0.15391304347826085
topic,baseline,tfidf_char_svm,elongation,changed_only,>1.30,674,120,0.8219584569732937,2.6409495548961424,0.18211397076382235,0.17804154302670627
topic,baseline,tfidf_char_svm,elongation,full,0.95-1.00,5,3,0.4,0.0,0.04091787439613526,0.6
topic,baseline,tfidf_char_svm,elongation,full,1.00-1.05,173,35,0.7976878612716763,1.4971098265895955,0.030249054721375367,0.20231213872832365
topic,baseline,tfidf_char_svm,elongation,full,1.05-1.15,1164,215,0.8152920962199313,1.8565292096219932,0.062047424151203706,0.18470790378006874
topic,baseline,tfidf_char_svm,elongation,full,1.15-1.30,1150,177,0.8460869565217392,2.210434782608696,0.10616817465225728,0.15391304347826085
topic,baseline,tfidf_char_svm,elongation,full,>1.30,674,120,0.8219584569732937,2.6409495548961424,0.18211397076382235,0.17804154302670627
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,<0.95,27,11,0.5925925925925926,-1.0,0.30673043050924026,0.40740740740740744
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,0.95-1.00,717,183,0.7447698744769874,-0.016736401673640166,0.21000431560675348,0.2552301255230126
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,1.00-1.05,245,55,0.7755102040816326,1.1183673469387756,0.1092325191071299,0.22448979591836737
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,1.05-1.15,1073,237,0.7791239515377446,1.505125815470643,0.18824386563483422,0.2208760484622554
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,1.15-1.30,705,153,0.7829787234042553,2.1333333333333333,0.23396417370093703,0.21702127659574466
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,>1.30,368,91,0.7527173913043478,2.6847826086956523,0.29544514965710617,0.24728260869565222
topic,baseline,tfidf_char_svm,mixed_noise,full,<0.95,27,11,0.5925925925925926,-1.0,0.30673043050924026,0.40740740740740744
topic,baseline,tfidf_char_svm,mixed_noise,full,0.95-1.00,748,192,0.7433155080213903,-0.016042780748663103,0.20130092819524362,0.25668449197860965
topic,baseline,tfidf_char_svm,mixed_noise,full,1.00-1.05,245,55,0.7755102040816326,1.1183673469387756,0.1092325191071299,0.22448979591836737
topic,baseline,tfidf_char_svm,mixed_noise,full,1.05-1.15,1073,237,0.7791239515377446,1.505125815470643,0.18824386563483422,0.2208760484622554
topic,baseline,tfidf_char_svm,mixed_noise,full,1.15-1.30,705,153,0.7829787234042553,2.1333333333333333,0.23396417370093703,0.21702127659574466
topic,baseline,tfidf_char_svm,mixed_noise,full,>1.30,368,91,0.7527173913043478,2.6847826086956523,0.29544514965710617,0.24728260869565222
topic,baseline,tfidf_char_svm,no_accent,changed_only,<0.95,7,6,0.14285714285714285,-1.1428571428571428,0.6323652537938252,0.8571428571428572
topic,baseline,tfidf_char_svm,no_accent,changed_only,0.95-1.00,238,158,0.33613445378151263,0.0,0.6635819246113364,0.6638655462184874
topic,baseline,tfidf_char_svm,no_accent,changed_only,1.00-1.05,9,5,0.4444444444444444,1.1111111111111112,0.6552206872522154,0.5555555555555556
topic,baseline,tfidf_char_svm,no_accent,changed_only,1.05-1.15,526,297,0.435361216730038,1.55893536121673,0.7385578248582306,0.564638783269962
topic,baseline,tfidf_char_svm,no_accent,changed_only,1.15-1.30,1530,906,0.40784313725490196,3.7777777777777777,0.7645655913424739,0.592156862745098
topic,baseline,tfidf_char_svm,no_accent,changed_only,>1.30,852,471,0.4471830985915493,5.315727699530516,0.791244819685298,0.5528169014084507
topic,baseline,tfidf_char_svm,no_accent,full,<0.95,7,6,0.14285714285714285,-1.1428571428571428,0.6323652537938252,0.8571428571428572
topic,baseline,tfidf_char_svm,no_accent,full,0.95-1.00,242,160,0.33884297520661155,0.0,0.6526136283367688,0.6611570247933884
topic,baseline,tfidf_char_svm,no_accent,full,1.00-1.05,9,5,0.4444444444444444,1.1111111111111112,0.6552206872522154,0.5555555555555556
topic,baseline,tfidf_char_svm,no_accent,full,1.05-1.15,526,297,0.435361216730038,1.55893536121673,0.7385578248582306,0.564638783269962
topic,baseline,tfidf_char_svm,no_accent,full,1.15-1.30,1530,906,0.40784313725490196,3.7777777777777777,0.7645655913424739,0.592156862745098
topic,baseline,tfidf_char_svm,no_accent,full,>1.30,852,471,0.4471830985915493,5.315727699530516,0.791244819685298,0.5528169014084507
topic,baseline,tfidf_char_svm,teencode_colloquial,changed_only,0.95-1.00,1010,154,0.8475247524752475,0.0,0.09786012852223808,0.1524752475247525
topic,baseline,tfidf_char_svm,teencode_colloquial,changed_only,1.00-1.05,176,36,0.7954545454545454,1.0113636363636365,0.059510085514269735,0.20454545454545459
topic,baseline,tfidf_char_svm,teencode_colloquial,changed_only,1.05-1.15,308,66,0.7857142857142857,1.0584415584415585,0.10901657561705641,0.2142857142857143
topic,baseline,tfidf_char_svm,teencode_colloquial,changed_only,1.15-1.30,42,11,0.7380952380952381,1.2142857142857142,0.20453395810538666,0.26190476190476186
topic,baseline,tfidf_char_svm,teencode_colloquial,changed_only,>1.30,5,2,0.6,1.4,0.3333333333333333,0.4
topic,baseline,tfidf_char_svm,teencode_colloquial,full,0.95-1.00,2635,413,0.8432637571157495,0.0,0.037509954386133,0.15673624288425048
topic,baseline,tfidf_char_svm,teencode_colloquial,full,1.00-1.05,176,36,0.7954545454545454,1.0113636363636365,0.059510085514269735,0.20454545454545459
topic,baseline,tfidf_char_svm,teencode_colloquial,full,1.05-1.15,308,66,0.7857142857142857,1.0584415584415585,0.10901657561705641,0.2142857142857143
topic,baseline,tfidf_char_svm,teencode_colloquial,full,1.15-1.30,42,11,0.7380952380952381,1.2142857142857142,0.20453395810538666,0.26190476190476186
topic,baseline,tfidf_char_svm,teencode_colloquial,full,>1.30,5,2,0.6,1.4,0.3333333333333333,0.4
topic,baseline,tfidf_char_svm,typo,changed_only,<0.95,4,2,0.5,-1.25,0.1352272727272727,0.5
topic,baseline,tfidf_char_svm,typo,changed_only,0.95-1.00,1414,318,0.7751060820367751,-0.0014144271570014145,0.09829612323208958,0.2248939179632249
topic,baseline,tfidf_char_svm,typo,changed_only,1.00-1.05,343,62,0.8192419825072886,1.0029154518950438,0.03718463211327296,0.18075801749271136
topic,baseline,tfidf_char_svm,typo,changed_only,1.05-1.15,1072,204,0.8097014925373134,1.017723880597015,0.09471983914765347,0.19029850746268662
topic,baseline,tfidf_char_svm,typo,changed_only,1.15-1.30,214,65,0.6962616822429907,1.0700934579439252,0.1864375759235572,0.3037383177570093
topic,baseline,tfidf_char_svm,typo,changed_only,>1.30,27,10,0.6296296296296297,1.1481481481481481,0.32962962962962966,0.37037037037037035
topic,baseline,tfidf_char_svm,typo,full,<0.95,4,2,0.5,-1.25,0.1352272727272727,0.5
topic,baseline,tfidf_char_svm,typo,full,0.95-1.00,1506,340,0.7742363877822045,-0.0013280212483399733,0.09229131357913324,0.2257636122177955
topic,baseline,tfidf_char_svm,typo,full,1.00-1.05,343,62,0.8192419825072886,1.0029154518950438,0.03718463211327296,0.18075801749271136
topic,baseline,tfidf_char_svm,typo,full,1.05-1.15,1072,204,0.8097014925373134,1.017723880597015,0.09471983914765347,0.19029850746268662
topic,baseline,tfidf_char_svm,typo,full,1.15-1.30,214,65,0.6962616822429907,1.0700934579439252,0.1864375759235572,0.3037383177570093
topic,baseline,tfidf_char_svm,typo,full,>1.30,27,10,0.6296296296296297,1.1481481481481481,0.32962962962962966,0.37037037037037035
topic,baseline,tfidf_word_svm,domain_abbreviation,changed_only,<0.95,159,37,0.7672955974842768,-1.10062893081761,0.24537329090978907,0.23270440251572322
topic,baseline,tfidf_word_svm,domain_abbreviation,changed_only,0.95-1.00,1371,254,0.8147337709700948,-0.06856309263311451,0.17990070966663912,0.1852662290299052
topic,baseline,tfidf_word_svm,domain_abbreviation,full,<0.95,159,37,0.7672955974842768,-1.10062893081761,0.24537329090978907,0.23270440251572322
topic,baseline,tfidf_word_svm,domain_abbreviation,full,0.95-1.00,3007,512,0.829730628533422,-0.03126039241769205,0.08202323676520194,0.17026937146657795
topic,baseline,tfidf_word_svm,elongation,changed_only,0.95-1.00,3,2,0.3333333333333333,0.0,0.0681964573268921,0.6666666666666667
topic,baseline,tfidf_word_svm,elongation,changed_only,1.00-1.05,173,24,0.861271676300578,1.4971098265895955,0.030249054721375367,0.138728323699422
topic,baseline,tfidf_word_svm,elongation,changed_only,1.05-1.15,1164,171,0.8530927835051546,1.8565292096219932,0.062047424151203706,0.1469072164948454
topic,baseline,tfidf_word_svm,elongation,changed_only,1.15-1.30,1150,175,0.8478260869565217,2.210434782608696,0.10616817465225728,0.15217391304347827
topic,baseline,tfidf_word_svm,elongation,changed_only,>1.30,674,135,0.7997032640949555,2.6409495548961424,0.18211397076382235,0.2002967359050445
topic,baseline,tfidf_word_svm,elongation,full,0.95-1.00,5,3,0.4,0.0,0.04091787439613526,0.6
topic,baseline,tfidf_word_svm,elongation,full,1.00-1.05,173,24,0.861271676300578,1.4971098265895955,0.030249054721375367,0.138728323699422
topic,baseline,tfidf_word_svm,elongation,full,1.05-1.15,1164,171,0.8530927835051546,1.8565292096219932,0.062047424151203706,0.1469072164948454
topic,baseline,tfidf_word_svm,elongation,full,1.15-1.30,1150,175,0.8478260869565217,2.210434782608696,0.10616817465225728,0.15217391304347827
topic,baseline,tfidf_word_svm,elongation,full,>1.30,674,135,0.7997032640949555,2.6409495548961424,0.18211397076382235,0.2002967359050445
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,<0.95,27,9,0.6666666666666666,-1.0,0.30673043050924026,0.33333333333333337
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,0.95-1.00,717,136,0.810320781032078,-0.016736401673640166,0.21000431560675348,0.18967921896792195
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,1.00-1.05,245,57,0.7673469387755102,1.1183673469387756,0.1092325191071299,0.2326530612244898
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,1.05-1.15,1073,201,0.8126747437092264,1.505125815470643,0.18824386563483422,0.18732525629077357
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,1.15-1.30,705,141,0.8,2.1333333333333333,0.23396417370093703,0.19999999999999996
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,>1.30,368,84,0.7717391304347826,2.6847826086956523,0.29544514965710617,0.2282608695652174
topic,baseline,tfidf_word_svm,mixed_noise,full,<0.95,27,9,0.6666666666666666,-1.0,0.30673043050924026,0.33333333333333337
topic,baseline,tfidf_word_svm,mixed_noise,full,0.95-1.00,748,143,0.8088235294117647,-0.016042780748663103,0.20130092819524362,0.19117647058823528
topic,baseline,tfidf_word_svm,mixed_noise,full,1.00-1.05,245,57,0.7673469387755102,1.1183673469387756,0.1092325191071299,0.2326530612244898
topic,baseline,tfidf_word_svm,mixed_noise,full,1.05-1.15,1073,201,0.8126747437092264,1.505125815470643,0.18824386563483422,0.18732525629077357
topic,baseline,tfidf_word_svm,mixed_noise,full,1.15-1.30,705,141,0.8,2.1333333333333333,0.23396417370093703,0.19999999999999996
topic,baseline,tfidf_word_svm,mixed_noise,full,>1.30,368,84,0.7717391304347826,2.6847826086956523,0.29544514965710617,0.2282608695652174
topic,baseline,tfidf_word_svm,no_accent,changed_only,<0.95,7,2,0.7142857142857143,-1.1428571428571428,0.6323652537938252,0.2857142857142857
topic,baseline,tfidf_word_svm,no_accent,changed_only,0.95-1.00,238,150,0.3697478991596639,0.0,0.6635819246113364,0.6302521008403361
topic,baseline,tfidf_word_svm,no_accent,changed_only,1.00-1.05,9,5,0.4444444444444444,1.1111111111111112,0.6552206872522154,0.5555555555555556
topic,baseline,tfidf_word_svm,no_accent,changed_only,1.05-1.15,526,338,0.3574144486692015,1.55893536121673,0.7385578248582306,0.6425855513307985
topic,baseline,tfidf_word_svm,no_accent,changed_only,1.15-1.30,1530,1013,0.33790849673202616,3.7777777777777777,0.7645655913424739,0.6620915032679738
topic,baseline,tfidf_word_svm,no_accent,changed_only,>1.30,852,613,0.2805164319248826,5.315727699530516,0.791244819685298,0.7194835680751174
